"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2","testRemoveProductFromCart","Surefire suite","2026-06-08","skipped","2026-06-08","tests.CartTest","Surefire test","tests.CartTest","testRemoveProductFromCart"
"","3","testEmptyPasswordTriggersError","Surefire suite","2026-06-08","skipped","2026-06-08","tests.LoginTest","Surefire test","tests.LoginTest","testEmptyPasswordTriggersError"
"Проверка логина с невалидным имененм юзера и валидным паролем","1","testEmptyUsernameTriggersError","Surefire suite","2026-06-08","skipped","2026-06-08","tests.LoginTest","Surefire test","tests.LoginTest","testEmptyUsernameTriggersError"
"","0","Настройка драйвера","Surefire suite","2026-06-08","broken","2026-06-08","tests.CartTest","Surefire test","tests.CartTest","setup"
"Проверка соответствия названия и цены товара после добавления в корзину","1","testProductDetailsInCart","Surefire suite","2026-06-08","skipped","2026-06-08","tests.CartTest","Surefire test","tests.CartTest","testProductDetailsInCart"
"","0","Настройка драйвера","Surefire suite","2026-06-08","broken","2026-06-08","tests.LoginTest","Surefire test","tests.LoginTest","setup"
"","0","testInvalidCredentialsTriggerError","Surefire suite","2026-06-08","skipped","2026-06-08","tests.LoginTest","Surefire test","tests.LoginTest","testInvalidCredentialsTriggerError"
"","3","Настройка драйвера","Surefire suite","2026-06-08","broken","2026-06-08","tests.LocatorsTest","Surefire test","tests.LocatorsTest","setup"
"","3","checkLocators","Surefire suite","2026-06-08","skipped","2026-06-08","tests.LocatorsTest","Surefire test","tests.LocatorsTest","checkLocators"
"","1","testValidLoginGoesToProductsPage","Surefire suite","2026-06-08","skipped","2026-06-08","tests.LoginTest","Surefire test","tests.LoginTest","testValidLoginGoesToProductsPage"
